Rank,Name,Conference,Record,Road,Neutral,Home,Non-Div 1
165,New Hampshire,America East,6-5-5,3-3-2,0-0-0,3-2-3,0-0-0
166,Seton Hall,Big East,6-7-5,1-5-2,0-0-0,5-2-3,0-0-0
167,Iowa St.,Big 12,6-11-1,3-6-0,0-0-0,3-5-1,0-0-0
168,Seattle U,WAC,10-9-2,4-4-1,1-1-0,5-4-1,0-0-0
169,Cal St. Fullerton,Big West,8-5-7,4-4-1,0-0-0,4-1-6,0-0-0
170,High Point,Big South,6-5-7,4-2-4,0-1-0,2-2-3,0-0-0
171,Southern Miss.,Sun Belt,6-9-3,1-6-1,0-1-0,5-2-2,0-0-0
172,Fairfield,MAAC,10-6-4,4-3-2,0-0-0,6-3-2,0-0-0
173,Loyola Chicago,Atlantic 10,7-7-4,3-4-2,0-0-0,4-3-2,0-0-0
174,Miami (FL),ACC,3-10-4,1-7-1,0-0-0,2-3-3,0-0-0
175,Stony Brook,CAA,6-6-6,2-3-3,0-1-0,4-2-3,0-0-0
176,Penn,Ivy League,6-7-3,1-6-0,0-0-0,5-1-3,0-0-0
177,Central Ark.,ASUN,8-7-5,3-4-2,0-1-0,5-2-3,0-0-0
178,Duquesne,Atlantic 10,8-8-4,3-6-2,0-0-0,5-2-2,0-0-0
179,North Ala.,ASUN,11-5-6,6-3-3,0-0-1,5-2-2,0-0-0
179,Ball St.,MAC,7-8-3,2-6-2,0-0-0,5-2-1,1-0-0
181,Pacific,WCC,9-9-1,4-6-0,0-0-0,5-3-1,0-0-0
182,Wright St.,Horizon,6-7-5,1-6-3,0-0-0,5-1-2,0-0-0
183,UC Davis,Big West,10-7-2,4-3-2,0-1-0,6-3-0,0-0-0
184,Maryland,Big Ten,3-10-5,1-6-3,0-0-0,2-4-2,0-0-0
185,Holy Cross,Patriot,5-7-5,1-4-3,0-0-0,4-3-2,0-0-0
186,Arkansas St.,Sun Belt,4-8-4,1-5-2,0-0-0,3-3-2,0-0-0
187,Robert Morris,Horizon,12-5-3,7-3-2,0-0-0,5-2-1,0-0-0
188,Oakland,Horizon,5-6-7,4-4-2,0-0-0,1-2-5,0-0-0
189,South Dakota,Summit League,6-7-4,2-3-2,0-1-0,4-3-2,1-0-0
190,Campbell,CAA,4-6-7,1-4-3,0-0-0,3-2-4,0-0-0
191,Houston,Big 12,8-8-2,3-3-2,0-0-0,5-5-0,0-0-0
192,Grambling,SWAC,14-5-4,6-3-1,3-0-0,5-2-3,1-0-0
193,USC Upstate,Big South,11-4-4,4-3-2,1-1-0,6-0-2,0-0-0
194,Bryant,America East,7-5-4,3-4-2,0-0-0,4-1-2,0-0-0
195,Lafayette,Patriot,7-8-1,2-6-0,0-0-0,5-2-1,0-0-0
196,Binghamton,America East,6-5-6,3-3-3,0-0-0,3-2-3,0-0-0
197,Drexel,CAA,7-8-3,1-6-2,0-0-0,6-2-1,0-0-0
198,UIC,MVC,6-8-5,2-6-2,0-0-0,4-2-3,0-0-0
199,Mercer,SoCon,10-6-5,5-3-2,0-0-0,5-3-3,0-0-0
200,McNeese,Southland,9-8-4,6-4-0,1-1-1,2-3-3,0-0-0
201,NIU,MAC,8-8-3,5-5-1,0-0-0,3-3-2,0-0-0
202,SIUE,OVC,5-6-6,2-1-3,0-1-0,3-4-3,0-0-0
203,NJIT,America East,7-7-5,2-5-1,0-0-0,5-2-4,0-0-0
204,Colgate,Patriot,5-13-2,2-10-1,0-0-0,3-3-1,0-0-0
205,Villanova,Big East,4-7-7,2-5-3,0-0-0,2-2-4,0-0-0
206,UNC Greensboro,SoCon,7-9-3,1-4-2,0-0-1,6-5-0,0-0-0
207,Delaware,CAA,5-5-8,2-3-4,0-0-0,3-2-4,0-0-0
208,Little Rock,OVC,7-5-8,4-3-5,1-0-0,2-2-3,0-0-0
209,Purdue,Big Ten,3-13-2,0-6-1,0-0-0,3-7-1,0-0-0
210,UNLV,Mountain West,7-7-6,6-2-2,0-0-0,1-5-4,0-0-0
211,Kansas,Big 12,4-8-6,1-5-3,0-0-0,3-3-3,0-0-0
212,Canisius,MAAC,9-4-5,5-2-1,0-0-0,4-2-4,0-0-0
213,FIU,CUSA,8-6-4,2-2-2,1-1-0,5-3-2,0-0-0
214,Sam Houston,CUSA,6-7-4,3-2-1,1-1-0,2-4-3,0-0-0
215,Navy,Patriot,8-7-3,4-4-1,0-0-0,4-3-2,1-0-0
216,Tulsa,AAC,5-9-5,1-4-3,0-1-0,4-4-2,0-0-0
217,Middle Tenn.,CUSA,6-9-3,2-5-1,0-0-0,4-4-2,0-0-0
218,Miami (OH),MAC,8-10-1,2-8-0,0-0-0,6-2-1,0-0-0
219,Tex. A&M-Commerce,Southland,9-7-3,4-5-1,0-1-0,5-1-2,0-0-0
220,Youngstown St.,Horizon,7-7-3,4-2-2,0-0-0,3-5-1,0-0-0
